question,answer,educationLevel,gender,hispanicOrLatino,incomeLevel,lgbtq,livingSituation,occupation,pet,politicalAffiliation,race,religion,school,state
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University of Notre Dame,Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),No Pets,Moderate,White,Not Religious,University at Albany SUNY,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Black or African American,Christianity,Duke University,Illinois
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,White,Christianity,"University of California, San Diego (UCSD)",California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Not Religious,Brandeis University,New Jersey
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Conservative,White,Christianity,Case Western Reserve University,Georgia
What’s Your Most Used Social Media App?,Instagram,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Very Conservative,White,Christianity,San Diego State University,New Jersey
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,Asian,Christianity,University of Delaware,Oregon
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Liberal,White,Christianity,University of Iowa,California
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Moderate,White,Christianity,Tufts University,Florida
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,"University of California, San Diego (UCSD)",Texas
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,Asian,Christianity,Drexel University,North Dakota
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Christianity,"Arizona State University, Tempe",Massachusetts
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Very Liberal,White,Christianity,Wake Forest University,Wisconsin
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Moderate,Asian,Christianity,Georgia Institute of Technology (Georgia Tech),Ohio
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Black or African American,Christianity,University of Colorado at Boulder,Indiana
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Conservative,Asian,Christianity,University of Wisconsin-Madison,Virginia
What’s Your Most Used Social Media App?,Twitter,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Cat",Slightly Conservative,White,Not Religious,Texas A&M University,California
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,Black or African American,Judaism,Washington University in St. Louis,Texas
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Very Conservative,White,Christianity,Florida State University,Washington
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Cornell University,Indiana
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Christianity,Stony Brook University,Utah
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Christianity,Emory University,Texas
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,Georgia Institute of Technology (Georgia Tech),Texas
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Judaism,"University of Massachusetts, Amherst",California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Cat",Slightly Conservative,White,Christianity,University at Albany SUNY,Florida
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,White,Christianity,"University of California, Irvine",Washington
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,University of Rochester,California
What’s Your Most Used Social Media App?,Twitter,High School,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Conservative,Asian,Not Religious,"University of California, Santa Cruz (UCSC)",Tennessee
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,Black or African American,Christianity,Indiana University Bloomington,Florida
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Very Liberal,Other,Other,New Jersey Institute of Technology (NJIT),Tennessee
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Very Conservative,Black or African American,Not Religious,Stanford University,California
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,Case Western Reserve University,Minnesota
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,Asian,Christianity,Howard University,California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Liberal,Black or African American,Christianity,Florida State University,Michigan
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),No Pets,Moderate,Black or African American,Not Religious,University of Iowa,Florida
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Hispanic,"Less Than $25,000",Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Christianity,Boston University,Oklahoma
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,Black or African American,Not Religious,University of Kansas,Texas
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,Temple University,California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Moderate,White,Christianity,University of Georgia,Michigan
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Case Western Reserve University,New York
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Homeowner,Employed (Full Time),"Yes, Dog",Slightly Liberal,White,Not Religious,University of Southern California,Pennsylvania
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Liberal,White,Buddhism,University of Delaware,Pennsylvania
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,University of Georgia,Washington
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Moderate,Asian,Christianity,"University of California, Riverside (UCR)",Ohio
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,White,Christianity,University at Albany SUNY,Ohio
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,University of New Mexico,Maryland
What’s Your Most Used Social Media App?,Other,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,Black or African American,Christianity,University of New Mexico,Massachusetts
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Other,University of the Pacific,South Carolina
What’s Your Most Used Social Media App?,TikTok,High School,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Moderate,White,Not Religious,University of Iowa,Louisiana
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Moderate,Black or African American,Christianity,New Jersey Institute of Technology (NJIT),Illinois
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Moderate,White,Christianity,"University of California, Davis (UCD)",Missouri
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Christianity,Lehigh University,Illinois
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,Columbia University,Ohio
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University at Buffalo SUNY,Hawaii
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Liberal,White,Christianity,George Mason University,Texas
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Wake Forest University,Kansas
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Liberal,White,Christianity,Princeton University,California
What’s Your Most Used Social Media App?,LinkedIn,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),No Pets,Slightly Liberal,Asian,Christianity,University at Albany SUNY,Nebraska
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),No Pets,Slightly Liberal,White,Not Religious,University of Hawai'i at Manoa,Pennsylvania
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Case Western Reserve University,Kentucky
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Other,Syracuse University,Colorado
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,"University of California, Davis (UCD)",Michigan
What’s Your Most Used Social Media App?,Instagram,High School,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Moderate,White,Not Religious,"University of Maryland, College Park",New York
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,Northwestern University,Texas
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,University of Georgia,New York
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Cat",Very Liberal,Black or African American,Christianity,Emory University,Massachusetts
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,Black or African American,Christianity,University of Texas Dallas,South Dakota
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes, Cat",Moderate,White,Christianity,"University of California, Riverside (UCR)",Colorado
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,Black or African American,Christianity,San Diego State University,Texas
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Student,Yes. Both,Moderate,White,Christianity,Syracuse University,California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Liberal,White,Christianity,"University of California, Davis (UCD)",Tennessee
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Liberal,White,Not Religious,University of Wisconsin-Madison,New York
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,White,Christianity,University of South Florida,Texas
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,"University of California, Irvine",Ohio
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Slightly Liberal,White,Christianity,University of Texas Dallas,Missouri
What’s Your Most Used Social Media App?,TikTok,High School,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Very Liberal,White,Not Religious,Georgia Institute of Technology (Georgia Tech),Texas
What’s Your Most Used Social Media App?,LinkedIn,High School,Male,Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Not Religious,Texas A&M University,Alabama
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes, Dog",Moderate,Black or African American,Christianity,"Arizona State University, Tempe",Oklahoma
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Conservative,White,Christianity,University of Texas Dallas,Pennsylvania
What’s Your Most Used Social Media App?,TikTok,High School,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,Other,Not Religious,Carnegie Mellon University,Virginia
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Liberal,White,Christianity,University of Texas at Austin,Indiana
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,Black or African American,Christianity,Duke University,Texas
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Tufts University,Pennsylvania
What’s Your Most Used Social Media App?,BeReal,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Christianity,University of Arizona,California
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Tulane University,Florida
What’s Your Most Used Social Media App?,LinkedIn,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Christianity,Northeastern University,California
What’s Your Most Used Social Media App?,Other,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,Yes. Both,Slightly Liberal,White,Christianity,"University of Maryland, College Park",California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,Asian,Christianity,University of Kansas,Texas
What’s Your Most Used Social Media App?,Other,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,Santa Clara University,Oregon
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University of Houston,New York
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Conservative,White,Not Religious,University of New Mexico,New York
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Very Liberal,White,Not Religious,"University of Massachusetts, Boston",Utah
What’s Your Most Used Social Media App?,Twitter,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,Yes. Both,Slightly Liberal,White,Not Religious,Rice University,New Mexico
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Christianity,"University of Minnesota, Twin Cities",Illinois
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Not Religious,Georgetown University,Alabama
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Not Religious,University of Houston,Wisconsin
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,Asian,Christianity,University of Hawai'i at Manoa,Louisiana
What’s Your Most Used Social Media App?,LinkedIn,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Slightly Liberal,Asian,Not Religious,University of Connecticut,Ohio
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Not Religious,University of Wisconsin-Madison,Texas
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,Asian,Not Religious,University of Virginia,Ohio
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Christianity,University of Miami,Utah
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,"University of California, Irvine",California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,University of Houston,Maine
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,University of Iowa,New York
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,"University of Maryland, College Park",Missouri
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,"University of Illinois, Chicago (UIC)",Texas
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Moderate,Black or African American,Not Religious,University of Wisconsin-Madison,Virginia
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,University of Georgia,Massachusetts
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Virginia Polytechnic Institute (Virginia Tech),Maryland
What’s Your Most Used Social Media App?,Other,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,"Yes, Dog",Moderate,Asian,Not Religious,Dartmouth College,Louisiana
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,Black or African American,Christianity,University of Iowa,Texas
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),No Pets,Very Liberal,White,Christianity,University of Florida,New York
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Slightly Liberal,White,Not Religious,Boston University,Maryland
What’s Your Most Used Social Media App?,Twitter,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Stony Brook University,California
What’s Your Most Used Social Media App?,BeReal,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,Black or African American,Christianity,Syracuse University,New Jersey
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Moderate,White,Christianity,University of Pennsylvania,Alabama
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Slightly Liberal,Black or African American,Christianity,University of Georgia,Maryland
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Dog",Moderate,Black or African American,Christianity,"University of California, Irvine",North Carolina
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,Asian,Judaism,University of Pennsylvania,Kentucky
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Christianity,"University of California, San Diego (UCSD)",New York
What’s Your Most Used Social Media App?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Not Religious,"Ohio State University, Columbus",North Carolina
What’s Your Most Used Social Media App?,TikTok,High School,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,San Diego State University,New York
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,Asian,Christianity,"University of Massachusetts, Boston",California
What’s Your Most Used Social Media App?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,Black or African American,Christianity,University of Southern California,Georgia
